area;mh;ind;bird_feaces;mammal_feaces;bird_seeds;mammal_seeds;total_seeds;sampled_area_m2;density_raw;seed_density_m2;focal_point;x;y;random_drop
SABOJI;JP;O514;34;0;68;0;68;0.598;113.7123746;114;NO;-6.51312891;36.9955147;yes
SABOJI;JP;O553;68;1;136;25;161;0.8112;198.4714004;198;NO;-6.513581326;36.99570637;no
SABOJI;JP;O580;50;0;100;0;100;0.52;192.3076923;192;NO;-6.513253894;36.99569873;no
SABOJI;JP;O582;49;0;98;0;98;0.5539;176.9272432;177;NO;-6.513166988;36.99561766;no
SABOJI;JP;O621;27;0;54;0;54;0.5617;96.13672779;96;NO;-6.513091478;36.99566489;no
SABOJI;JP;O626;25;0;50;0;50;0.584;85.61643836;86;YES;-6.513162749;36.99569337;no
SABOJI;JP;O642;49;0;98;0;98;0.5225;187.5598086;188;NO;-6.513308869;36.99572889;no
SABOJI;JP;O682;40;0;80;0;80;0.508;157.480315;157;NO;-6.513538477;36.99574312;yes
SABOJI;JP;O685;39;0;78;0;78;0.7055;110.5598866;111;NO;-6.513424425;36.9957906;yes
SABOJI;JP;O766;34;0;68;0;68;0.55;123.6363636;124;NO;-6.51345053;36.99592431;no
SABOJI;JP;O839;18;0;36;0;36;0.5216;69.01840491;69;NO;-6.513073438;36.9957875;yes
SABOJI;OA;OT14M11;1;0;2;0;2;1;2;2;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M13;1;0;2;0;2;1;2;2;NO;-6.513259226;36.99553735;no
SABOJI;OA;OT14M14;1;0;2;0;2;1;2;2;NO;-6.513269602;36.99552571;no
SABOJI;OA;OT14M16;3;0;6;0;6;1;6;6;YES;-6.51329426;36.99554798;no
SABOJI;OA;OT14M17;1;0;2;0;2;1;2;2;NO;-6.513300889;36.99556056;no
SABOJI;OA;OT14M19;3;0;6;0;6;1;6;6;YES;-6.513314072;36.99557869;no
SABOJI;OA;OT14M20;4;0;8;0;8;1;8;8;YES;-6.513322452;36.99559017;no
SABOJI;OA;OT14M21;1;0;2;0;2;1;2;2;YES;-6.513323168;36.99560773;no
SABOJI;OA;OT14M22;1;0;2;0;2;1;2;2;YES;-6.513312326;36.99561828;no
SABOJI;OA;OT14M23;1;0;2;0;2;1;2;2;YES;-6.513309852;36.99563957;no
SABOJI;OA;OT14M3;1;0;2;0;2;1;2;2;YES;-6.513134739;36.99544441;no
SABOJI;OA;OT14M4;2;0;4;0;4;1;4;4;YES;-6.513163406;36.99545757;no
SABOJI;OA;OT14M5;2;0;4;0;4;1;4;4;NO;-6.513181743;36.99547078;no
SABOJI;OA;OT14M9;1;0;2;0;2;1;2;2;YES;-6.513192341;36.99549119;no
SABOJI;OA;OT14M1;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M2;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M6;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M7;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M8;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M10;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M12;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M15;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M18;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M24;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M25;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M26;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M27;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M28;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M29;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M30;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M31;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M32;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M33;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M34;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M35;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M36;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M37;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M38;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M39;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M40;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M41;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M42;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M43;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M44;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M45;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT15M1;1;0;2;0;2;1;2;2;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M10;2;0;4;0;4;1;4;4;NO;-6.513486448;36.99544642;no
SABOJI;OA;OT15M13;2;0;4;0;4;1;4;4;YES;-6.51345808;36.99545198;no
SABOJI;OA;OT15M14;2;0;4;0;4;1;4;4;YES;-6.513450399;36.99546742;no
SABOJI;OA;OT15M15;3;0;6;0;6;1;6;6;NO;-6.513421571;36.99547304;no
SABOJI;OA;OT15M16;5;0;10;0;10;1;10;10;YES;-6.513389385;36.99548432;no
SABOJI;OA;OT15M17;2;0;4;0;4;1;4;4;YES;-6.513371389;36.99549507;no
SABOJI;OA;OT15M18;3;0;6;0;6;1;6;6;NO;-6.513338511;36.99550042;no
SABOJI;OA;OT15M19;4;0;8;0;8;1;8;8;NO;-6.513318115;36.99551144;no
SABOJI;OA;OT15M21;2;0;4;0;4;1;4;4;NO;-6.513274596;36.99552817;no
SABOJI;OA;OT15M22;5;0;10;0;10;1;10;10;YES;-6.51324099;36.99554878;no
SABOJI;OA;OT15M23;2;0;4;0;4;1;4;4;YES;-6.513211406;36.99555052;no
SABOJI;OA;OT15M3;1;0;2;0;2;1;2;2;YES;-6.513500311;36.99532922;no
SABOJI;OA;OT15M4;7;0;14;0;14;1;14;14;YES;-6.5135042;36.9953428;no
SABOJI;OA;OT15M5;8;0;16;0;16;1;16;16;YES;-6.513508625;36.99535913;no
SABOJI;OA;OT15M6;5;0;10;0;10;1;10;10;YES;-6.513517392;36.99538222;no
