sampled;knownPopulation;FAM01_DFAGA;FAM01_DFAGAb;FAM03_022206;FAM03_022206b;FAM06_84596;FAM06_84596b;NED07_DCRW4;NED07_DCRW4b;NED08_033740;NED08_033740b;NED09_ESGND;NED09_ESGNDb;VIC12_DMX65;VIC12_DMX65b;VIC13_015521;VIC13_015521b;VIC14_127300;VIC14_127300b;PET15_DLXB1;PET15_DLXB1b;PET16_064797;PET16_064797b;PET17_58859;PET17_58859b
39_Jp_End_078A_P02;3;93;95;169;169;259;273;95;97;135;135;154;154;128;128;171;195;246;246;136;140;209;213;236;236
40_Jp_End_078B_P02;3;93;95;169;169;259;273;95;97;135;135;154;154;128;128;171;195;246;246;136;140;209;213;236;236
41_Jp_End_079A_P02;3;91;93;169;169;245;261;97;97;133;135;154;163;133;142;187;187;231;231;140;140;209;213;236;236
42_Jp_End_080A_P02;3;91;91;169;169;259;259;95;99;135;135;161;161;139;147;187;197;246;246;136;140;205;209;238;244
43_Jp_End_080B_P02;3;91;91;169;169;259;259;95;95;135;135;161;161;139;147;187;197;246;246;136;140;205;209;238;244
44_Jp_End_081A_P02;3;91;95;169;169;245;271;95;97;135;135;154;161;128;128;187;187;246;246;136;138;207;213;236;240
45_Jp_End_081B_P02;3;91;95;169;169;245;259;95;95;135;135;154;161;124;128;187;193;231;246;136;138;213;213;236;244
46_Jp_End_082A_P02;3;95;95;169;169;245;259;95;99;133;135;154;163;122;139;187;195;227;227;140;140;209;213;238;244
47_Jp_End_082B_P02;3;95;95;169;169;245;259;95;99;133;135;154;163;122;139;193;195;227;227;140;140;209;213;238;244
48_Jp_End_083A_P02;3;93;95;169;169;245;259;0;0;133;135;161;161;108;144;187;189;236;236;140;140;205;209;236;238
49_Jp_End_084A_P02;3;95;95;169;169;259;271;97;97;133;133;154;159;108;144;197;197;231;231;136;138;207;213;236;244
50_Jp_End_084B_P02;3;91;95;169;169;271;271;97;97;133;133;154;154;108;144;197;197;231;231;136;140;207;213;236;244
51_Jp_End_084C_P02;3;95;95;169;169;259;271;97;97;133;133;154;154;108;144;191;197;231;231;136;138;207;207;236;244
52_Jp_End_085A_P02;3;93;93;169;179;236;271;97;97;135;135;161;161;108;122;187;197;231;246;138;140;209;213;236;236
53_Jp_End_085B_P02;3;93;93;169;179;236;271;97;97;135;135;161;161;108;122;187;197;231;246;138;140;209;213;236;236
54_Jp_End_085C_P02;3;95;95;169;169;259;271;97;97;133;133;154;159;108;144;197;197;231;231;136;138;207;213;236;244
55_Jp_End_086A_P02;3;91;93;169;169;259;259;97;97;135;135;161;161;108;156;0;0;236;246;136;140;213;213;236;238
56_Jp_End_087A_P02;3;93;95;169;169;259;277;97;97;135;135;154;154;108;108;187;197;236;246;136;136;205;213;238;238
57_Jp_End_088A_P02;3;93;95;169;185;259;259;95;95;135;135;161;161;108;144;187;197;227;246;138;138;207;213;238;238
58_Jp_End_089A_P02;3;91;95;169;177;263;273;97;99;135;135;154;161;122;147;197;197;231;246;140;140;207;213;238;238
59_Jp_End_089B_P02;3;91;95;169;169;273;273;97;99;135;135;154;161;122;147;187;197;231;246;140;140;207;213;238;238
60_Jp_End_090A_P02;3;91;93;169;169;259;273;95;99;133;133;154;169;128;128;191;197;231;246;136;140;205;213;244;246
61_Jp_End_091A_P02;3;91;91;169;177;259;279;97;97;135;135;154;161;122;128;191;199;231;246;140;140;0;0;238;244
62_Jp_End_092A_P02;3;91;95;169;169;259;277;97;99;133;133;154;161;128;139;187;197;231;231;136;140;213;213;236;244
63_Jp_End_092B_P02;3;91;95;169;169;259;277;97;99;133;133;154;161;128;139;187;197;231;231;136;140;213;213;236;244
64_Jp_End_092C_P02;3;91;95;169;169;259;277;97;99;133;133;154;161;128;139;187;197;231;231;136;140;213;213;236;244
65_Jp_End_092D_P02;3;91;91;169;169;259;277;97;97;135;135;154;161;142;144;185;197;231;246;140;140;213;213;236;236
66_Jp_End_093A_P02;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
67_Jp_End_093B_P02;3;95;95;169;169;259;271;97;97;133;133;154;161;128;128;187;197;227;246;136;136;207;213;236;238
68_Jp_End_093C_P02;3;95;95;169;169;259;271;97;97;133;133;154;161;122;128;187;197;246;246;136;136;207;209;238;238
69_Jp_End_093D_P02;3;95;95;169;169;259;259;97;97;133;133;154;161;122;128;187;197;227;246;136;136;207;209;238;238
70_Jp_End_093E_P02;3;95;95;169;169;259;271;97;97;133;133;154;163;122;128;187;197;246;246;136;136;207;209;238;238
71_Jp_End_093F_P02;3;95;95;169;169;259;283;97;97;133;133;154;161;122;128;187;197;246;246;136;136;207;209;238;238
72_Jp_End_094A_P02;3;91;93;169;169;245;259;97;99;133;135;161;161;108;128;187;197;231;234;140;140;209;209;238;244
73_Jp_End_095A_P02;3;91;93;169;169;245;259;95;99;133;135;154;163;108;144;171;187;231;236;140;140;209;213;238;238
74_Jp_End_096A_P02;3;95;95;169;169;247;271;95;97;135;135;154;154;133;144;187;187;246;246;140;140;203;207;238;238
75_Jp_End_097A_P02;3;91;95;169;169;259;259;97;99;133;133;161;161;0;0;171;195;231;246;138;140;209;213;238;244
76_Jp_End_098A_P02;3;93;93;169;169;245;259;97;97;133;135;154;163;128;144;187;195;231;246;136;140;209;213;236;236
77_Jp_End_099A_P02;3;95;95;169;169;245;271;97;97;133;133;161;161;139;144;197;197;236;246;140;140;205;205;236;236
78_Jp_End_099B_P02;3;95;95;169;169;271;271;97;97;133;135;154;161;139;144;197;197;236;246;138;140;205;209;236;238
79_Jp_End_099C_P02;3;95;95;169;169;271;271;97;97;133;135;154;161;139;144;189;197;236;246;138;140;205;209;236;238
80_Jp_End_099D_P02;3;95;95;169;169;271;271;97;97;133;135;154;161;139;144;189;197;236;246;138;140;205;209;236;238
81_Jp_End_099E_P02;3;95;95;169;169;271;271;97;97;133;135;154;161;139;144;189;197;236;246;136;140;205;209;236;238
82_Jp_End_099F_P02;3;95;95;169;169;271;271;97;97;133;135;154;161;139;144;189;197;236;246;138;138;205;209;236;238
83_Jp_End_100A_P02;3;91;95;169;169;245;271;95;99;133;135;154;161;108;128;187;191;246;257;140;140;205;209;238;244
84_Jp_End_100B_P02;3;91;95;169;169;245;271;99;99;133;135;154;161;122;128;187;191;231;246;140;140;205;209;238;244
85_Jp_End_100C_P02;3;91;95;169;169;261;271;95;99;133;135;154;161;122;128;191;197;227;257;140;140;209;209;238;244
86_Jp_End_100D_P02;3;93;95;169;171;259;271;95;95;135;135;154;161;128;144;187;197;227;231;138;138;199;207;238;244
87_Jp_End_100E_P02;3;91;95;169;169;245;271;99;99;133;135;154;161;128;144;187;191;227;257;140;140;205;209;238;244
88_Jp_End_101A_P02;3;93;93;169;169;259;273;97;99;135;135;161;163;108;128;171;197;231;246;136;140;207;213;236;244
89_Jp_End_101B_P02;3;93;93;169;169;259;273;97;99;135;135;161;163;108;128;171;197;231;246;136;140;207;213;236;244
90_Jp_End_102A_P02;3;93;95;169;185;245;259;95;99;133;135;161;163;108;144;189;197;236;236;136;140;207;209;236;238
91_Jp_End_103A_P02;3;93;95;169;169;259;263;99;99;133;135;161;169;108;142;187;187;240;240;136;138;213;213;238;244
92_Jp_End_104A_P02;3;93;93;169;169;265;267;95;97;135;135;161;165;108;122;187;187;231;246;136;140;207;213;236;236
